school_name,borough_x,building_code_x,average_math_x,average_reading_x,average_writing_x,percent_tested_x,borough_y,building_code_y,average_math_y,average_reading_y,average_writing_y,percent_tested_y
Bronx Collegiate Academy,Bronx,X410,395,401,382,45.5,Bronx,X410,395,401,382,45.5
Bronx Early College Academy for Teaching and Learning,Bronx,X166,424,413,409,93.3,Bronx,X166,424,413,409,93.3
Bronx Engineering and Technology Academy,Bronx,X475,394,406,391,59.6,Bronx,X475,394,406,391,59.6
Bronx Envision Academy,Bronx,X098,364,385,366,76.5,Bronx,X098,364,385,366,76.5
Bronx Guild,Bronx,X450,365,393,357,41.3,Bronx,X450,365,393,357,41.3
Bronx Health Sciences High School,Bronx,X455,407,421,427,87.1,Bronx,X455,407,421,427,87.1
Bronx High School for Law and Community Service,Bronx,X435,401,402,386,64.8,Bronx,X435,401,402,386,64.8
Bronx High School for Medical Science,Bronx,X410,431,421,426,83.9,Bronx,X410,431,421,426,83.9
Bronx High School for Writing and Communication Arts,Bronx,X425,380,437,425,38.1,Bronx,X425,380,437,425,38.1
Bronx High School for the Visual Arts,Bronx,X839,408,428,404,,Bronx,X839,408,428,404,
Bronx High School of Business,Bronx,X410,365,360,346,33.3,Bronx,X410,365,360,346,33.3
Bronx High School of Science,Bronx,X445,714,660,667,97.0,Bronx,X445,714,660,667,97.0
Bronx International High School,Bronx,X400,355,330,320,,Bronx,X400,355,330,320,
Bronx Lab School,Bronx,X425,407,416,401,77.4,Bronx,X425,407,416,401,77.4
Bronx Latin,Bronx,X158,394,381,363,81.0,Bronx,X158,394,381,363,81.0
Bronx Leadership Academy High School,Bronx,X876,375,372,374,49.1,Bronx,X876,375,372,374,49.1
Bronx Leadership Academy II High School,Bronx,X790,384,355,361,61.3,Bronx,X790,384,355,361,61.3
"Bronx School for Law, Government, and Justice",Bronx,X460,403,409,415,63.8,Bronx,X460,403,409,415,63.8
Bronx School of Law and Finance,Bronx,X475,384,394,366,48.3,Bronx,X475,384,394,366,48.3
Bronx Studio School for Writers and Artists,Bronx,X392,417,412,403,71.6,Bronx,X392,417,412,403,71.6
Bronx Theatre High School,Bronx,X475,382,384,390,66.7,Bronx,X475,382,384,390,66.7
Bronxdale High School,Bronx,X415,418,432,436,72.5,Bronx,X415,418,432,436,72.5
Bronxwood Preparatory Academy,Bronx,X362,392,408,392,43.3,Bronx,X362,392,408,392,43.3
Brooklyn Academy of Global Finance,Brooklyn,K057,395,382,391,,Brooklyn,K057,395,382,391,
Brooklyn Academy of Science and the Environment,Brooklyn,K440,419,411,416,58.5,Brooklyn,K440,419,411,416,58.5
Brooklyn College Academy,Brooklyn,K917,502,495,493,98.1,Brooklyn,K917,502,495,493,98.1
Brooklyn Collegiate (College Board),Brooklyn,K055,394,395,399,64.4,Brooklyn,K055,394,395,399,64.4
"Brooklyn Community High School of Communication, Arts, and Media",Brooklyn,K117,358,386,380,51.7,Brooklyn,K117,358,386,380,51.7
Brooklyn Generation School,Brooklyn,K515,392,406,403,50.0,Brooklyn,K515,392,406,403,50.0
Brooklyn High School for Law and Technology,Brooklyn,K987,395,401,383,62.7,Brooklyn,K987,395,401,383,62.7
Brooklyn High School of the Arts,Brooklyn,K655,439,441,436,80.6,Brooklyn,K655,439,441,436,80.6
Brooklyn International High School,Brooklyn,K805,432,334,333,92.7,Brooklyn,K805,432,334,333,92.7
Brooklyn Lab School,Brooklyn,K420,383,376,370,46.8,Brooklyn,K420,383,376,370,46.8
Brooklyn Latin School,Brooklyn,K049,625,588,591,97.5,Brooklyn,K049,625,588,591,97.5
Brooklyn Preparatory High School,Brooklyn,K650,391,406,391,74.5,Brooklyn,K650,391,406,391,74.5
Brooklyn School for Global Studies,Brooklyn,K293,393,381,402,61.8,Brooklyn,K293,393,381,402,61.8
Brooklyn School for Music and Theatre,Brooklyn,K440,382,393,377,72.2,Brooklyn,K440,382,393,377,72.2
Brooklyn Secondary School for Collaborative Studies,Brooklyn,K142,401,411,404,,Brooklyn,K142,401,411,404,
Brooklyn Studio Secondary School,Brooklyn,K721,458,434,434,67.8,Brooklyn,K721,458,434,434,67.8
Brooklyn Technical High School,Brooklyn,K430,682,608,606,95.5,Brooklyn,K430,682,608,606,95.5
Brooklyn Theatre Arts High School,Brooklyn,K515,379,393,373,69.1,Brooklyn,K515,379,393,373,69.1
Bushwick Leaders High School for Academic Excellence,Brooklyn,K865,393,368,382,46.8,Brooklyn,K865,393,368,382,46.8
Bushwick School for Social Justice,Brooklyn,K480,365,357,357,50.0,Brooklyn,K480,365,357,357,50.0
Business of Sports School,Manhattan,M625,395,386,371,67.5,Manhattan,M625,395,386,371,67.5
CSI High School for International Studies,Staten Island,R043,477,468,464,83.5,Staten Island,R043,477,468,464,83.5
Cambria Heights Academy,Queens,Q799,418,424,411,58.5,Queens,Q799,418,424,411,58.5
Celia Cruz Bronx High School of Music,Bronx,X430,417,434,425,75.6,Bronx,X430,417,434,425,75.6
Central Park East High School,Manhattan,M013,483,468,439,97.9,Manhattan,M013,483,468,439,97.9
Channel View School for Research,Queens,Q410,427,430,423,76.6,Queens,Q410,427,430,423,76.6
Chelsea Career and Technical Education High School,Manhattan,M615,439,418,400,80.4,Manhattan,M615,439,418,400,80.4
Cinema School,Bronx,X423,430,449,448,88.3,Bronx,X423,430,449,448,88.3
City College Academy of the Arts,Manhattan,M218,495,445,450,95.3,Manhattan,M218,495,445,450,95.3
"City Polytechnic High School of Engineering, Architecture, and Technology",Brooklyn,K580,503,477,427,18.5,Brooklyn,K580,503,477,427,18.5
Civic Leadership Academy,Queens,Q744,435,424,418,68.9,Queens,Q744,435,424,418,68.9
Clara Barton High School,Brooklyn,K600,408,424,407,55.0,Brooklyn,K600,408,424,407,55.0
Coalition School for Social Change,Manhattan,M045,344,368,367,40.5,Manhattan,M045,344,368,367,40.5
Cobble Hill School of American Studies,Brooklyn,K804,416,420,402,55.3,Brooklyn,K804,416,420,402,55.3
College Academy,Manhattan,M465,367,377,363,41.9,Manhattan,M465,367,377,363,41.9
Collegiate Institute for Math and Science,Bronx,X415,488,461,458,79.8,Bronx,X415,488,461,458,79.8
Columbia Secondary School,Manhattan,M125,583,561,546,88.2,Manhattan,M125,583,561,546,88.2
Community Health Academy of the Heights,Manhattan,M814,387,389,385,55.3,Manhattan,M814,387,389,385,55.3
Community School for Social Justice,Bronx,X884,380,382,362,38.4,Bronx,X884,380,382,362,38.4
